state,county,prefix
Alabama,Autauga,1
Alabama,Baldwin,2
Alabama,Barbour,3
Alabama,Bibb,4
Alabama,Blount,5
Alabama,Bullock,6
Alabama,Butler,7
Alabama,Calhoun,8
Alabama,Chambers,9
Alabama,Cherokee,10
Alabama,Chilton,11
Alabama,Choctaw,12
Alabama,Clarke,13
Alabama,Clay,14
Alabama,Cleburne,15
Alabama,Coffee,16
Alabama,Colbert (new),17
Alabama,Conecuh,18
Alabama,Coosa,19
Alabama,Covington,20
Alabama,Crenshaw,21
Alabama,Cullman,22
Alabama,Dale,23
Alabama,Dallas,24
Alabama,DeKalb,25
Alabama,Elmore,26
Alabama,Escambia,27
Alabama,Etowah,28
Alabama,Fayette,29
Alabama,Franklin,30
Alabama,Geneva,31
Alabama,Greene,32
Alabama,Hale,33
Alabama,Henry,34
Alabama,Houston,35
Alabama,Jackson,36
Alabama,Jefferson,37
Alabama,Lamar,38
Alabama,Lauderdale,39
Alabama,Lawrence,40
Alabama,Lee,41
Alabama,Limestone,42
Alabama,Lowndes,43
Alabama,Macon,44
Alabama,Madison,45
Alabama,Marengo,46
Alabama,Marion,47
Alabama,Marshall,48
Alabama,Mobile,49
Alabama,Monroe,50
Alabama,Montgomery,51
Alabama,Morgan,52
Alabama,Perry,53
Alabama,Pickens,54
Alabama,Pike,55
Alabama,Randolph,56
Alabama,Russell,57
Alabama,Shelby,58
Alabama,St Clair,59
Alabama,Sumter,60
Alabama,Talladega,61
Alabama,Tallapoosa,62
Alabama,Tuscaloosa,63
Alabama,Walker,64
Alabama,Washington,65
Alabama,Wilcox,66
Alabama,Winston,67
Alaska Territory,First Judicial Dist,1
Alaska Territory,Fourth Judicicial Dist - No Data,2
Alaska Territory,Second Judicicial Dist - No Data,3
Alaska Territory,Third Judicicial Dist - No Data,4
Arizona,Apache,1
Arizona,Cochise,2
Arizona,Coconino,3
Arizona,Gila,4
Arizona,Graham,5
Arizona,Greenlee,6
Arizona,Maricopa,7
Arizona,Mohave,8
Arizona,Navajo,9
Arizona,Pima,10
Arizona,Pinal,11
Arizona,Santa Cruz,12
Arizona,Yavapai,13
Arizona,Yuma,14
Arkansas,Arkansas,1
Arkansas,Ashley,2
Arkansas,Baxter,3
Arkansas,Benton,4
Arkansas,Boone,5
Arkansas,Bradley,6
Arkansas,Calhoun,7
Arkansas,Carroll,8
Arkansas,Chicot,9
Arkansas,Clark,10
Arkansas,Clay,11
Arkansas,Cleburne,12
Arkansas,Cleveland,13
Arkansas,Columbia,14
Arkansas,Conway,15
Arkansas,Craighead,16
Arkansas,Crawford,17
Arkansas,Crittenden,18
Arkansas,Cross,19
Arkansas,Dallas,20
Arkansas,Desha,21
Arkansas,Drew,22
Arkansas,Faulkner,23
Arkansas,Franklin,24
Arkansas,Fulton,25
Arkansas,Garland,26
Arkansas,Grant,27
Arkansas,Greene,28
Arkansas,Hempstead,29
Arkansas,Hot Spring,30
Arkansas,Howard,31
Arkansas,Independence,32
Arkansas,Izard,33
Arkansas,Jackson,34
Arkansas,Jefferson,35
Arkansas,Johnson,36
Arkansas,Lafayette,37
Arkansas,Lawrence,38
Arkansas,Lee,39
Arkansas,Lincoln,40
Arkansas,Little River,41
Arkansas,Logan,42
Arkansas,Lonoke,43
Arkansas,Madison,44
Arkansas,Marion,45
Arkansas,Miller,46
Arkansas,Mississippi,47
Arkansas,Monroe,48
Arkansas,Montgomery,49
Arkansas,Nevada,50
Arkansas,Newton,51
Arkansas,Ouachita,52
Arkansas,Perry,53
Arkansas,Phillips,54
Arkansas,Pike,55
Arkansas,Poinsett,56
Arkansas,Polk,57
Arkansas,Pope,58
Arkansas,Prairie,59
Arkansas,Pulaski,60
Arkansas,Randolph,61
Arkansas,Saline,62
Arkansas,Scott,63
Arkansas,Searcy,64
Arkansas,Sebastian,65
Arkansas,Sevier,66
Arkansas,Sharp,67
Arkansas,St Francis,68
Arkansas,Stone,69
Arkansas,Union,70
Arkansas,Van Buren,71
Arkansas,Washington,72
Arkansas,White,73
Arkansas,Woodruff,74
Arkansas,Yell,75
California,Alameda,1
California,Alpine,2
California,Amador,3
California,Butte,4
California,Calaveras,5
California,Colusa,6
California,Contra Costa,7
California,Del Norte,8
California,El Dorado,9
California,Fresno,10
California,Glenn,11
California,Humboldt,12
California,Imperial,13
California,Inyo,14
California,Kern,15
California,Kings,16
California,Lake,17
California,Lassen,18
California,Los Angeles,19
California,Madera,20
California,Marin,21
California,Mariposa,22
California,Mendocino,23
California,Merced,24
California,Modoc,25
California,Mono,26
California,Monterey,27
California,Napa,28
California,Nevada,29
California,Orange,30
California,Placer,31
California,Plumas,32
California,Riverside,33
California,Sacramento,34
California,San Benito,35
California,San Bernardino,36
California,San Diego,37
California,San Francisco,38
California,San Joaquin,39
California,San Luis Obispo,40
California,San Mateo,41
California,Santa Barbara,42
California,Santa Clara,43
California,Santa Cruz,44
California,Shasta,45
California,Sierra,46
California,Siskiyou,47
California,Solano,48
California,Sonoma,49
California,Stanislaus,50
California,Sutter,51
California,Tehama,52
California,Trinity,53
California,Tulare,54
California,Tuolumne,55
California,Ventura,56
California,Yolo,57
California,Yuba,58
Colorado,Adams,1
Colorado,Alamosa,2
Colorado,Arapahoe (South Arapahoe),3
Colorado,Archuleta,4
Colorado,Baca,5
Colorado,Bent,6
Colorado,Boulder,7
Colorado,Chaffee,8
Colorado,Cheyenne,9
Colorado,Clear Creek,10
Colorado,Conejos,11
Colorado,Costilla,12
Colorado,Crowley,13
Colorado,Custer,14
Colorado,Delta,15
Colorado,Denver,16
Colorado,Dolores,17
Colorado,Douglas,18
Colorado,Eagle,19
Colorado,El Paso,20
Colorado,Elbert,21
Colorado,Fremont,22
Colorado,Garfield,23
Colorado,Gilpin,24
Colorado,Grand,25
Colorado,Gunnison,26
Colorado,Hinsdale,27
Colorado,Huerfano,28
Colorado,Jackson,29
Colorado,Jefferson,30
Colorado,Kiowa,31
Colorado,Kit Carson,32
Colorado,La Plata,33
Colorado,Lake,34
Colorado,Larimer,35
Colorado,Las Animas,36
Colorado,Lincoln,37
Colorado,Logan,38
Colorado,Mesa,39
Colorado,Mineral,40
Colorado,Moffat,41
Colorado,Montezuma,42
Colorado,Montrose,43
Colorado,Morgan,44
Colorado,Otero,45
Colorado,Ouray,46
Colorado,Park,47
Colorado,Phillips,48
Colorado,Pitkin,49
Colorado,Prowers,50
Colorado,Pueblo,51
Colorado,Rio Blanco,52
Colorado,Rio Grande,53
Colorado,Routt,54
Colorado,Saguache,55
Colorado,San Juan,56
Colorado,San Miguel,57
Colorado,Sedgwick,58
Colorado,Summit,59
Colorado,Teller,60
Colorado,Washington,61
Colorado,Weld,62
Colorado,Yuma,63
Connecticut,Fairfield,1
Connecticut,Hartford,2
Connecticut,Litchfield,3
Connecticut,Middlesex,4
Connecticut,New Haven,5
Connecticut,New London,6
Connecticut,Tolland,7
Connecticut,Windham,8
Delaware,Kent,1
Delaware,New Castle,2
Delaware,Sussex,3
District of Columbia,District Of Columbia,1
Florida,Alachua,1
Florida,Baker,2
Florida,Bay,3
Florida,Bradford,4
Florida,Brevard,5
Florida,Broward,6
Florida,Calhoun,7
Florida,Charlotte,8
Florida,Citrus,9
Florida,Clay,10
Florida,Collier,11
Florida,Columbia,12
Florida,Dade,13
Florida,De Soto,14
Florida,Dixie,15
Florida,Duval,16
Florida,Escambia,17
Florida,Flagler,18
Florida,Franklin,19
Florida,Gadsden,20
Florida,Gilchrist,21
Florida,Glades,22
Florida,Gulf,23
Florida,Hamilton,24
Florida,Hardee,25
Florida,Hendry,26
Florida,Hernando,27
Florida,Highlands,28
Florida,Hillsborough,29
Florida,Holmes,30
Florida,Indian River,31
Florida,Jackson,32
Florida,Jefferson,33
Florida,Lafayette,34
Florida,Lake,35
Florida,Lee,36
Florida,Leon,37
Florida,Levy,38
Florida,Liberty,39
Florida,Madison,40
Florida,Manatee,41
Florida,Marion,42
Florida,Martin,43
Florida,Monroe,44
Florida,Nassau,45
Florida,Okaloosa,46
Florida,Okeechobee,47
Florida,Orange,48
Florida,Osceola,49
Florida,Palm Beach,50
Florida,Pasco,51
Florida,Pinellas,52
Florida,Polk,53
Florida,Putnam,54
Florida,Santa Rosa,55
Florida,Sarasota,56
Florida,Seminole,57
Florida,St Johns,58
Florida,St Lucie,59
Florida,Sumter,60
Florida,Suwannee,61
Florida,Taylor,62
Florida,Union,63
Florida,Volusia,64
Florida,Wakulla,65
Florida,Walton,66
Florida,Washington,67
Georgia,Appling,1
Georgia,Atkinson,2
Georgia,Bacon,3
Georgia,Baker,4
Georgia,Baldwin,5
Georgia,Banks,6
Georgia,Barrow,7
Georgia,Bartow,8
Georgia,Ben Hill,9
Georgia,Berrien,10
Georgia,Bibb,11
Georgia,Bleckley,12
Georgia,Brantley,13
Georgia,Brooks,14
Georgia,Bryan,15
Georgia,Bulloch,16
Georgia,Burke,17
Georgia,Butts,18
Georgia,Calhoun,19
Georgia,Camden,20
Georgia,Campbell,21
